domain,type,2nd type,3rd type,Source Notes (things to know?)
socialeverythings.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
stormcloudsgathering.com,fake,,,
subjectpolitics.com,fake,bias,,
success-street.com,fake,clickbait,,http://success-street.com/2017/01/18/wow-obama-orders-life-sized-bronze-statute-permanently-installed-white-house/
supremepatriot.com,fake,bias,,
TDTalliance.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
teaparty.org,fake,unreliable,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
thatviralfeed.net,fake,unreliable,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
the-insider.co,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
theamericanindependent.wordpress.com,fake,bias,,
thebigriddle.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
thebostontribune.com,fake,,,
thecommonsenseshow.com,fake,conspiracy,,
thecontroversialfiles.net,fake,clickbait, ,
thefreepatriot.org,fake,bias,clickbait,
theinternetpost.net,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
thelastgreatstand.com,fake,conspiracy,bias,
themoralofthestory.us,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
thenet24h.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
thenewyorkevening.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
theracketreport.com,fake,satire,,"I can't find disclaimers, but I think it's satirical "
thereporterz.com,fake,,,
therightscoop.com,fake,clickbait,,"no authors, no history, no about us, unverifiable data, etc."
thetrumpmedia.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
thetruthdivision.com,fake,bias,,
thetruthseeker.co.uk,fake,conspiracy,junksci,ex: NY orchestrated the asian tsunami in 2008!
theusa-news.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
thewashingtonpress.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
threepercenternation.com,fake,conspiracy,bias,
times.com.mx,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
tmzworldnews.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
trueamericans.me,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
