handelsblatt.com,4916,15000000,105,1.99,64.95,39.08,2.25,36.67,21.02,0.66,0.32
theepochtimes.com,4637,14140000,305,2.42,63.76,32.99,9.14,21.4,34.64,1.72,0.11
money.cnn.com,2895,29900000,137,1.67,74.35,43.05,10.33,45.72,0.62,0.27,0.02
dailycaller.com,6093,12610000,151,2.04,59.93,46.53,20.86,11.2,19.96,1.39,0.07
oregonlive.com,6228,11670000,154,2.25,59.37,46.8,2.71,39.31,10.28,0.82,0.09
azcentral.com,5704,10230000,291,3.08,64.17,35.41,2.55,54.84,5.77,1.37,0.07
nrc.nl,5252,13010000,167,2.55,64.63,52.51,4.35,28.79,12.76,1.5,0.09
theroot.com,15424,4880000,104,1.95,64.96,27.43,39.94,15.33,15.84,1.44,0.02
mercurynews.com,5009,14810000,90,1.85,64.82,24.07,3.36,65.5,6.24,0.77,0.06
business-standard.com,4254,18590000,78,1.58,72.26,15.82,1.68,78.79,3.3,0.38,0.04
rd.com,5591,13500000,101,1.74,71.96,19.5,4.33,67.44,6.87,1.78,0.07
bdnews24.com,5307,11170000,459,3.75,42.42,57.77,2.77,21.78,16.39,1.23,0.06
vanityfair.com,5340,15700000,52,1.4,78.57,22.09,5.9,49.94,21.05,0.82,0.21
vanityfair.com,5340,15700000,52,1.4,78.57,22.09,5.9,49.94,21.05,0.82,0.21
inquisitr.com,9889,7580000,56,1.87,69.82,13.35,4.44,73.06,8.02,1.06,0.07
miamiherald.com,4965,15450000,67,1.73,73.43,22.16,11.58,45.98,14.85,5.39,0.03
al.com,6034,11420000,177,2.49,55.29,39.26,3.73,40.92,15.37,0.61,0.11
france24.com,3643,19960000,112,1.91,65.01,35.08,4.46,51.53,7.89,0.42,0.61
rappler.com,7164,11750000,114,1.55,71.2,16.18,1.37,56.97,24.52,0.9,0.05
voanews.com,6283,12760000,103,1.78,75.86,46.86,6.88,39.31,6.18,0.75,0.01
startribune.com,4791,12810000,1129,3.31,54.34,48.97,3.04,29.03,11.48,7.46,0.02
thestar.com,5475,14940000,98,1.64,70.44,40.97,3.05,42.14,13.29,0.46,0.09
ajc.com,3964,16350000.000000002,348,2.55,65.97,42.17,3.95,38.39,13.81,1.46,0.21
nationalpost.com,3603,21620000,102,1.64,69.16,24.19,2.98,63.32,9.06,0.38,0.06
golem.de,10352,7190000,189,2.41,58.1,73.52,1.75,19.57,4.74,0.33,0.1
bostonglobe.com,5044,13680000,467,2.42,65.26,42.97,4.77,39.75,10.28,2.18,0.04
seattletimes.com,5033,13890000,150,2.39,63.78,49.27,3.63,35.49,8.66,2.89,0.07
heraldsun.com.au,10173,7180000,236,2.53,52.78,56.07,1.6,32,9.35,0.93,0.05
towardsdatascience.com,5074,16960000,128,1.58,71.29,19.66,2.96,73.03,2.1,2.25,0.01
weatherbug.com,11156,5030000,133,4.33,45.82,77.68,1.12,20.75,0.26,0.18,0.01
detroitnews.com,6743,9010000,524,3.56,54.19,51.94,5.73,22.18,16.97,3.09,0.09
fark.com,8624,7900000,703,5.4,23.44,87.03,2.35,4.09,4.8,1.73,0.01
theonion.com,11467,5520000,95,2.76,61.46,42.03,5.92,13.95,36.32,1.69,0.09
theweek.com,7360,7980000,109,3.13,62.96,38.59,18.97,25.31,16.44,0.6,0.09
dallasnews.com,7090,12090000,61,1.5,78.61,35.3,4.3,44.87,12.57,2.87,0.08
dailytelegraph.com.au,8699,8310000.000000001,131,2.13,60.17,29.62,1.89,52.24,15.16,1.05,0.03
sun-sentinel.com,12819,5270000,254,2.47,65.18,32.83,7.92,46.63,9.31,2.65,0.67
chinadaily.com.cn,6561,10470000,62,2.12,78.34,31.52,6.72,59.83,1.55,0.3,0.07
deccanchronicle.com,18763,2930000,451,3.75,58.83,46.92,1.66,43.96,5.32,2.11,0.03
orlandosentinel.com,13262,6020000,109,1.73,71.35,33.57,4.27,49.26,10.58,1.64,0.67
newsmax.com,6544,11580000,160,2.12,58.06,79.95,5.61,8.78,4.12,1.12,0.42
scotsman.com,8680,8950000,74,1.91,68.7,27.41,6,55.31,10.92,0.19,0.16
stltoday.com,11028,5590000,257,3.31,58.41,53.99,2.59,30.31,10.16,2.9,0.06
washingtontimes.com,5750,12880000,125,1.86,68.49,26.43,10.92,34.14,27.68,0.79,0.03
haaretz.com,14405,5170000,236,1.98,72.18,27.91,3.74,52.96,13.12,2.11,0.17
theaustralian.com.au,7160,9870000,172,2.37,54.66,44.87,1.38,40.59,12.05,1.09,0.02
thestreet.com,7172,11750000,103,1.58,77.61,28.62,9.12,59.76,1.91,0.52,0.06
thehindubusinessline.com,10472,8100000,73,1.48,70.59,15.68,2.1,76.37,3.5,2,0.36
themarker.com,9754,6260000,496,3.33,62.89,43.85,12.37,29.98,9.7,3.79,0.32
pcgameshardware.de,13744,5170000,157,2.45,64.12,35.16,1.12,60.27,3.19,0.22,0.04
hbr.org,7371,11550000,77,1.47,81.76,28.77,4.75,49.52,15.37,1.27,0.32
barrons.com,5259,12960000,113,2.26,61.72,30.85,15.74,48.92,3.64,0.81,0.04
deccanherald.com,5544,13850000,69,1.76,65.64,22.61,1.06,71.8,3.79,0.74,0.01
nola.com,11973,6440000,133,2.23,65.02,53.72,8.38,24.21,11.31,2.34,0.03
dnaindia.com,21928,3750000,49,1.51,74.35,25.27,2.03,57.53,14.7,0.31,0.16
metafilter.com,19909,3990000,121,1.76,76.66,29.85,0.58,68.81,0.47,0.2,0.09
mediapart.fr,5753,12460000,159,2.18,70.9,43.52,3.36,27.9,19.13,6.06,0.03
syracuse.com,8428,8160000,181,2.73,57.11,44.87,3.06,43.51,7.78,0.72,0.06
fortune.com,4850,15840000,55,1.62,77.79,14.16,3.87,76.4,4.95,0.54,0.08
lexisnexis.com,15370,4000000,205,3.16,59.85,53.53,14.39,28.57,1.31,1.73,0.48
tribuneindia.com,11784,5120000,125,3.03,61.16,30.27,0.68,64.54,3.83,0.67,0
denverpost.com,11999,6600000,84,1.75,68.23,37.79,2.52,50.74,8.17,0.77,0.02
sfchronicle.com,7311,9770000,262,2.28,63.99,39.65,4.76,42.17,10.51,2.82,0.1
couriermail.com.au,17506,4040000,206,2.45,51.59,47.8,1.47,32.3,17.08,1.27,0.07
afr.com,7545,11030000,112,1.7,74.66,48.66,2.26,38.67,9.36,1,0.05
triblive.com,7521,11560000,121,1.58,68.78,47.06,3.17,38.46,10.55,0.76,0
jsonline.com,11175,5730000,516,3.03,58.94,47.8,6.03,29.25,13.29,3.55,0.07
suntimes.com,12891,5760000,80,2.02,64.1,35.02,4.87,40.28,19.1,0.7,0.03
newindianexpress.com,8915,8630000,96,1.81,73.91,19.48,2.02,71.06,6.65,0.67,0.13
telegraphindia.com,20841,3130000,197,2.7,56.31,30.59,2.49,52.57,12.98,1.28,0.1
prnewswire.com,14272,6250000,57,1.31,85.95,19.13,6.3,70.86,3.14,0.56,0
staradvertiser.com,8601,6850000,642,3.81,55.66,56.31,1.8,30.63,7.19,3.97,0.09
mid-day.com,26489,2410000,100,2.56,59.16,43.77,1.92,45.27,7.74,1.23,0.08
baltimoresun.com,12073,6370000,155,1.92,70.42,32.78,3.6,53.12,8.46,1.94,0.09
adelaidenow.com.au,15757,4800000,217,2.26,56.66,43.31,2.18,42.1,10.11,2.2,0.1
japantimes.co.jp,11591,5640000,107,2.55,58.05,32.83,3.19,53.15,10.3,0.36,0.16
irna.ir,9614,7350000,125,2.15,77.66,22.64,4.85,71.48,0.87,0.16,0
buffalonews.com,16591,3790000,432,2.96,67.36,51.96,2.17,34.08,8.94,2.85,0
wtop.com,9496,5740000,1236,4.25,58.86,49.1,1.7,38.93,7.24,3.02,0.01
foreca.com,18210,3910000,84,2.82,45.11,84.64,1.48,10.14,2.23,1.51,0
mysanantonio.com,20068,2900000,258,3.66,54.77,48.83,3.33,33.09,11.72,1.3,1.73
spectator.co.uk,20878,3520000,116,2.05,66.91,40.24,7.5,27.94,22.24,2.06,0.02
houstonchronicle.com,12205,5790000,242,2.18,67.16,23.51,7.93,46.81,17.05,4.03,0.68
huffingtonpost.com,33178,2770000,34,1.44,88.69,40.17,18.24,32.7,8.35,0.38,0.16
newsday.com,16003,4610000,99,2.11,69.03,41.19,3.37,47.74,6.32,1.37,0.02
commondreams.org,13322,5710000,89,1.9,76.04,34.59,2.43,31.36,30.99,0.53,0.1
upi.com,19460,3780000,128,1.93,79.44,23.23,16.81,54.56,4.57,0.8,0.02
newsobserver.com,9168,7240000,96,2.54,69.05,33.65,5.24,46.05,9.3,5.73,0.03
seattlepi.com,22559,2260000,373,4.06,65.26,41.94,2.24,50.28,4.33,1.17,0.05
sacbee.com,10282,6900000,79,2.15,71.76,26.83,10.43,48.21,10.39,4.14,0.01
tampabay.com,10523,7420000,80,1.83,74.51,30.65,8.44,40.31,17.96,2.62,0.02
theadvocate.com,17855,3940000,199,2.35,70.29,32.25,17.03,31.31,14.52,3.91,0.98
siasat.com,11087,6300000,125,2.33,59.84,31.5,0.46,58.45,7.6,2,0
ocregister.com,13818,5440000,79,1.94,65.13,30.23,4.04,55.28,9.26,1.15,0.05
alternet.org,21837,3840000,210,2.08,55.17,57.6,4.5,16.72,18.6,2.45,0.12
journalstar.com,25630,2550000,138,2.74,67,50.65,4.35,31.94,11.66,1.38,0.01
kansascity.com,15255,4120000,118,2.93,66.54,38.72,11.86,33.13,12.37,3.91,0.02
omaha.com,18926,3560000,129,2.59,69.07,51.58,3.86,31.01,11.33,2.15,0.08
sltrib.com,13809,4810000,465,2.54,72.48,31.93,2.68,48.25,13.81,3.29,0.04
desmoinesregister.com,18062,3480000,412,2.83,65.55,42.11,3.75,41.66,10.48,1.9,0.09
macleans.ca,16930,4550000,92,1.78,67.57,18,2.44,68.53,10.21,0.74,0.08
palmbeachpost.com,26504,3060000,83,1.66,72.96,39.47,3.29,44.56,11.2,1.43,0.06
timesunion.com,29770,1980000,397,3.33,57.95,48.04,2.7,37.58,9.36,1.56,0.77
topix.com,162324,193070,282,5.72,78.44,62.02,14.55,13.3,10.13,0,0
vancouversun.com,17685,4150000.0000000005,107,2.15,63.31,38.88,1.54,46.5,12.42,0.61,0.06
fcc.gov,22149,2440000,169,3.7,66.05,33.53,12.92,50.68,1.96,0.89,0.02
fd.nl,16867,4110000.0000000005,170,2.64,50.7,58.26,2.19,27.95,10.17,1.3,0.12
adweek.com,28300,2820000,61,1.54,78.33,26.24,3.54,60.8,7.55,1.83,0.03
parade.com,8141,9520000,54,1.7,79.5,9.7,1.68,86.12,2.38,0.1,0.02
indystar.com,17738,3700000,477,2.65,65.88,40.28,2.23,43.76,11.79,1.89,0.05
tennessean.com,22199,3300000,220,1.96,67.69,28.03,5.56,53.85,10.29,2.19,0.08
thebetterindia.com,36333,3500000,60,2.91,29.56,13.82,1.2,69.59,15.04,0.35,0
c-span.org,24656,3130000,128,1.85,68.13,34.08,5.7,45.6,13.91,0.69,0.02
thestranger.com,41854,1650000,139,1.99,77.37,35.58,2.45,49.33,11.56,1.03,0.07
reviewjournal.com,15311,5460000,87,1.71,71.8,32.81,2.67,46.68,14.37,3.45,0.01
newstatesman.com,29662,2960000,39,1.26,86,21.77,5.48,46.34,25.42,0.9,0.08
technologyreview.com,22725,3750000,57,1.41,80.69,34.64,4.91,40.97,18.43,1,0.05
richmond.com,26120,2410000,155,2.85,64.5,44.4,3.14,39.17,11.45,1.84,0
thewest.com.au,29948,2650000,166,1.79,76.09,33.93,3.27,50.33,11.84,0.51,0.11
dowjones.com,16307,4179999.9999999995,71,2.26,55.33,20.81,54.57,18.84,2.67,2.76,0.35
pressdemocrat.com,16146,5110000,237,1.95,70.47,55.26,2.85,31.61,8.17,2.08,0.03
thestate.com,21700,2880000,87,2.85,66.66,33.55,6.07,47.46,8.19,4.67,0.06
sandiegouniontribune.com,14835,5470000,74,1.65,71.17,32.66,4.2,54.93,7.17,1.01,0.02
bostonherald.com,27848,2850000,69,1.64,69.62,34.79,9.02,46.87,8.73,0.55,0.04
letemps.ch,8788,9060000,69,1.74,79.66,35.62,3.05,48.83,11.21,1.29,0
newrepublic.com,34635,2270000,51,1.54,79.85,31.21,6.01,48.31,13.94,0.39,0.14
uexpress.com,35295,1560000,236,3.36,38.64,65.32,0.54,28.66,1.95,3.53,0
twincities.com,27778,2920000,77,1.6,71.62,36.52,3.79,46.87,12,0.78,0.04
observer.com,33435,2450000,43,1.37,85.75,15.83,4.79,72.44,6.6,0.2,0.15
nwitimes.com,29178,2140000,127,2.92,63.2,39.24,2.68,40.51,16.52,1.02,0.01
militarytimes.com,25519,3280000,58,1.4,83.94,21.32,11.59,47.78,17.21,1.94,0.16
westword.com,37916,2020000,65,1.55,76.4,16.73,1.43,69.3,12.01,0.52,0.02
postandcourier.com,33184,2060000,286,2.19,75.07,31.07,5.32,40.64,17.22,5.73,0.02
montrealgazette.com,18628,3950000,86,2.03,66.5,28.85,1.65,49.77,19.01,0.66,0.05
thedailymash.co.uk,40801,1740000,116,2.05,67.83,37.51,2.08,10.08,49.5,0.84,0
thenation.com,21570,3780000,82,1.56,72.49,26.18,8.43,40.95,23.38,0.94,0.12
democratandchronicle.com,25750,2100000,502,3.67,62.8,40.6,2.63,44.76,9.09,2.89,0.03
heraldextra.com,65235,864520,92,2.76,71.9,27.52,4.16,61.53,5.95,0.84,0
reforma.com,25530,2910000,136,2.18,54.6,62.22,1.76,24.92,10.05,1.02,0.03
beforeitsnews.com,19457,3580000,362,3.54,39.68,81.32,3.13,6.94,6.77,1.82,0.02
edmontonjournal.com,34559,2190000,81,1.8,66.93,35.48,2.27,44.99,16.46,0.59,0.21
dailyherald.com,30434,2230000,330,2.24,67.43,39.27,3.84,43.82,9.27,3.77,0.02
spiked-online.com,40576,1720000,118,2.21,67.05,40.86,12.76,25.05,20.55,0.48,0.31
adn.com,26817,2880000,120,1.86,63.66,51.74,5.09,31.38,10.76,1.03,0.01
calgaryherald.com,22182,3710000,97,1.69,64.39,35.34,1.04,52.47,10.74,0.36,0.05
tallahassee.com,50323,1140000,541,2.8,64.12,39.11,3.4,42.64,13.9,0.94,0.01
winnipegfreepress.com,25392,1890000,191,5.33,60.09,47.41,1.33,40.4,9.72,1.13,0
statesman.com,25918,3130000,67,1.6,70.67,37.05,2.52,47.54,9.85,2.97,0.07
star-telegram.com,22237,2980000,104,2.41,68.84,21.94,14.13,48.9,10.63,4.37,0.03
timesfreepress.com,32245,1970000,125,2.65,65.83,37.78,2.67,48.77,10.29,0.43,0.05
courant.com,23894,2780000,264,2.43,68.19,38.43,3.12,51.02,5.96,1.37,0.09
lucianne.com,32924,2650000,334,2.41,50.07,94.81,1.54,3.33,0.18,0.15,0
greaterkashmir.com,29142,2069999.9999999998,153,3.41,54.05,34.66,0.14,53.02,11.55,0.53,0.11
northjersey.com,27565,2540000,154,2.08,69.57,30.94,3.04,53.34,11.06,1.54,0.08
tucson.com,32205,2080000,106,2.3,68.81,42.71,2.56,42.74,10.72,1.25,0.03
duluthnewstribune.com,41253,1640000,118,2.32,62.98,48.42,2.54,42.46,5,1.59,0
worldweatheronline.com,52802,1410000,55,1.61,78.41,34.63,1.78,62.67,0.61,0.31,0
stamfordadvocate.com,34688,1970000,158,2.35,64.79,17.68,65.8,12.11,2.76,1.03,0.62
